size,depth,technology,zygosity,FN,FP,TN,TP,precision,recall,F1,Accuracy
medium,0.5,pacbio,homozygous,49,0,43,7,1,0.125,0.222222222222222,0.505050505050505
medium,0.5,shortread,heterozygous,37,3,0,24,0.888888888888889,0.39344262295082,0.545454545454546,0.375
medium,0.5,shortread,homozygous,29,1,43,27,0.964285714285714,0.482142857142857,0.642857142857143,0.7
medium,2,linkedread,heterozygous,54,0,0,7,1,0.114754098360656,0.205882352941176,0.114754098360656
medium,2,linkedread,homozygous,39,0,43,17,1,0.303571428571429,0.465753424657534,0.606060606060606
medium,2,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
medium,2,linkedread (pooled),homozygous,7,0,0,9,1,0.5625,0.72,0.5625
medium,2,ontlong,heterozygous,13,0,0,48,1,0.786885245901639,0.880733944954128,0.786885245901639
medium,2,ontlong,homozygous,0,0,43,56,1,1,1,1
medium,2,ontshort,heterozygous,28,0,0,33,1,0.540983606557377,0.702127659574468,0.540983606557377
medium,2,ontshort,homozygous,7,0,43,49,1,0.875,0.933333333333333,0.929292929292929
medium,2,pacbio,heterozygous,17,0,0,44,1,0.721311475409836,0.838095238095238,0.721311475409836
medium,2,pacbio,homozygous,1,0,43,55,1,0.982142857142857,0.990990990990991,0.98989898989899
medium,2,shortread,heterozygous,18,2,0,43,0.955555555555556,0.704918032786885,0.811320754716981,0.682539682539683
medium,2,shortread,homozygous,20,6,43,36,0.857142857142857,0.642857142857143,0.73469387755102,0.752380952380952
medium,5,linkedread,heterozygous,31,0,0,30,1,0.491803278688525,0.659340659340659,0.491803278688525
medium,5,linkedread,homozygous,28,0,43,28,1,0.5,0.666666666666667,0.717171717171717
medium,5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
medium,5,linkedread (pooled),homozygous,5,0,0,11,1,0.6875,0.814814814814815,0.6875
medium,5,ontlong,heterozygous,0,0,0,61,1,1,1,1
medium,5,ontlong,homozygous,0,0,43,56,1,1,1,1
medium,5,ontshort,heterozygous,3,0,0,58,1,0.950819672131147,0.974789915966387,0.950819672131147
medium,5,ontshort,homozygous,3,0,43,53,1,0.946428571428571,0.972477064220183,0.96969696969697
medium,5,pacbio,heterozygous,1,0,0,60,1,0.983606557377049,0.991735537190083,0.983606557377049
medium,5,pacbio,homozygous,0,0,43,56,1,1,1,1
medium,5,shortread,heterozygous,9,0,0,52,1,0.852459016393443,0.920353982300885,0.852459016393443
medium,5,shortread,homozygous,15,6,43,41,0.872340425531915,0.732142857142857,0.796116504854369,0.8
medium,10,linkedread,heterozygous,10,0,0,51,1,0.836065573770492,0.910714285714286,0.836065573770492
medium,10,linkedread,homozygous,26,0,43,30,1,0.535714285714286,0.697674418604651,0.737373737373737
medium,10,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
medium,10,linkedread (pooled),homozygous,5,0,0,11,1,0.6875,0.814814814814815,0.6875
medium,10,ontlong,heterozygous,0,0,0,61,1,1,1,1
medium,10,ontlong,homozygous,0,0,43,56,1,1,1,1
medium,10,ontshort,heterozygous,0,0,0,61,1,1,1,1
medium,10,ontshort,homozygous,0,0,43,56,1,1,1,1
medium,10,pacbio,heterozygous,0,0,0,61,1,1,1,1
medium,10,pacbio,homozygous,0,0,43,56,1,1,1,1
medium,10,shortread,heterozygous,7,0,0,54,1,0.885245901639344,0.939130434782609,0.885245901639344
medium,10,shortread,homozygous,16,10,43,40,0.8,0.714285714285714,0.754716981132076,0.761467889908257
medium,20,linkedread,heterozygous,9,0,0,52,1,0.852459016393443,0.920353982300885,0.852459016393443
medium,20,linkedread,homozygous,26,0,43,30,1,0.535714285714286,0.697674418604651,0.737373737373737
medium,20,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
medium,20,linkedread (pooled),homozygous,5,0,0,11,1,0.6875,0.814814814814815,0.6875
medium,20,ontlong,heterozygous,0,0,0,61,1,1,1,1
medium,20,ontlong,homozygous,0,0,43,56,1,1,1,1
medium,20,ontshort,heterozygous,3,0,0,58,1,0.950819672131147,0.974789915966387,0.950819672131147
medium,20,ontshort,homozygous,0,0,43,56,1,1,1,1
medium,20,pacbio,heterozygous,0,0,0,61,1,1,1,1
medium,20,pacbio,homozygous,0,0,43,56,1,1,1,1
medium,20,shortread,heterozygous,7,0,0,54,1,0.885245901639344,0.939130434782609,0.885245901639344
medium,20,shortread,homozygous,15,10,43,41,0.803921568627451,0.732142857142857,0.766355140186916,0.770642201834862
small,0.5,linkedread,heterozygous,72,0,0,2,1,0.027027027027027,0.0526315789473684,0.027027027027027
small,0.5,linkedread,homozygous,67,0,57,2,1,0.0289855072463768,0.0563380281690141,0.468253968253968
small,0.5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
small,0.5,linkedread (pooled),homozygous,10,0,0,10,1,0.5,0.666666666666667,0.5
small,0.5,ontlong,heterozygous,71,0,0,3,1,0.0405405405405405,0.0779220779220779,0.0405405405405405
small,0.5,ontlong,homozygous,45,0,57,24,1,0.347826086956522,0.516129032258065,0.642857142857143
small,0.5,ontshort,heterozygous,64,0,0,10,1,0.135135135135135,0.238095238095238,0.135135135135135
small,0.5,ontshort,homozygous,57,0,57,12,1,0.173913043478261,0.296296296296296,0.547619047619048
small,0.5,pacbio,heterozygous,64,0,0,10,1,0.135135135135135,0.238095238095238,0.135135135135135
small,0.5,pacbio,homozygous,54,0,57,15,1,0.217391304347826,0.357142857142857,0.571428571428571
small,0.5,shortread,heterozygous,61,9,0,13,0.590909090909091,0.175675675675676,0.270833333333333,0.156626506024096
small,0.5,shortread,homozygous,30,6,57,39,0.866666666666667,0.565217391304348,0.684210526315789,0.727272727272727
small,2,linkedread,heterozygous,63,0,0,11,1,0.148648648648649,0.258823529411765,0.148648648648649
small,2,linkedread,homozygous,40,0,57,29,1,0.420289855072464,0.591836734693877,0.682539682539683
small,2,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
small,2,linkedread (pooled),homozygous,6,0,0,14,1,0.7,0.823529411764706,0.7
small,2,ontlong,heterozygous,42,0,0,32,1,0.432432432432432,0.60377358490566,0.432432432432432
small,2,ontlong,homozygous,4,1,57,65,0.984848484848485,0.942028985507246,0.962962962962963,0.960629921259842
small,2,ontshort,heterozygous,21,0,0,53,1,0.716216216216216,0.834645669291339,0.716216216216216
small,2,ontshort,homozygous,8,0,57,61,1,0.884057971014493,0.938461538461539,0.936507936507937
small,2,pacbio,heterozygous,34,0,0,40,1,0.540540540540541,0.701754385964912,0.540540540540541
small,2,pacbio,homozygous,4,0,57,65,1,0.942028985507246,0.970149253731343,0.968253968253968
small,2,shortread,heterozygous,29,4,0,45,0.918367346938776,0.608108108108108,0.731707317073171,0.576923076923077
small,2,shortread,homozygous,6,0,57,63,1,0.91304347826087,0.954545454545454,0.952380952380952
small,5,linkedread,heterozygous,29,0,0,45,1,0.608108108108108,0.756302521008403,0.608108108108108
small,5,linkedread,homozygous,12,0,57,57,1,0.826086956521739,0.904761904761905,0.904761904761905
small,5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
small,5,linkedread (pooled),homozygous,5,0,0,15,1,0.75,0.857142857142857,0.75
small,5,ontlong,heterozygous,8,0,0,66,1,0.891891891891892,0.942857142857143,0.891891891891892
small,5,ontlong,homozygous,0,2,57,69,0.971830985915493,1,0.985714285714286,0.984375
small,5,ontshort,heterozygous,7,0,0,67,1,0.905405405405405,0.950354609929078,0.905405405405405
small,5,ontshort,homozygous,2,0,57,67,1,0.971014492753623,0.985294117647059,0.984126984126984
small,5,pacbio,heterozygous,2,0,0,72,1,0.972972972972973,0.986301369863014,0.972972972972973
small,5,pacbio,homozygous,0,1,57,69,0.985714285714286,1,0.992805755395683,0.992125984251969
small,5,shortread,heterozygous,15,2,0,59,0.967213114754098,0.797297297297297,0.874074074074074,0.776315789473684
small,5,shortread,homozygous,4,0,57,65,1,0.942028985507246,0.970149253731343,0.968253968253968
small,10,linkedread,heterozygous,16,0,0,58,1,0.783783783783784,0.878787878787879,0.783783783783784
small,10,linkedread,homozygous,3,0,57,66,1,0.956521739130435,0.977777777777778,0.976190476190476
small,10,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
small,10,linkedread (pooled),homozygous,3,0,0,17,1,0.85,0.918918918918919,0.85
small,10,ontlong,heterozygous,0,0,0,74,1,1,1,1
small,10,ontlong,homozygous,0,2,57,69,0.971830985915493,1,0.985714285714286,0.984375
small,10,ontshort,heterozygous,5,0,0,69,1,0.932432432432432,0.965034965034965,0.932432432432432
small,10,ontshort,homozygous,2,0,57,67,1,0.971014492753623,0.985294117647059,0.984126984126984
small,10,pacbio,heterozygous,1,0,0,73,1,0.986486486486487,0.993197278911565,0.986486486486487
small,10,pacbio,homozygous,0,2,57,69,0.971830985915493,1,0.985714285714286,0.984375
small,10,shortread,heterozygous,11,0,0,63,1,0.851351351351351,0.91970802919708,0.851351351351351
small,10,shortread,homozygous,2,0,57,67,1,0.971014492753623,0.985294117647059,0.984126984126984
